serial_number,date,ai_result,wav_data
ITRI0002002,2024-11-13,14.00000,2024-11-13T221403
ITRI0002002,2024-11-13,18.00000,2024-11-13T220713
ITRI0002002,2024-11-13,10.00000,2024-11-13T220708
ITRI0002002,2024-11-13,13.00000,2024-11-13T220644
ITRI0002002,2024-11-13,10.00000,2024-11-13T220454
ITRI0002002,2024-11-13,15.00000,2024-11-13T220445
ITRI0002002,2024-11-13,18.00000,2024-11-13T220115
ITRI0002002,2024-11-13,10.00000,2024-11-13T220012
ITRI0002002,2024-11-13,18.00000,2024-11-13T220001
ITRI0002002,2024-11-13,11.00000,2024-11-13T215927
ITRI0002002,2024-11-13,14.00000,2024-11-13T215724
ITRI0002002,2024-11-13,36.00000,2024-11-13T215542
ITRI0002002,2024-11-13,10.00000,2024-11-13T215205
ITRI0002002,2024-11-13,15.00000,2024-11-13T214829
ITRI0001001,2024-11-13,40.00000,2024-11-13T154524
ITRI0001001,2024-11-13,18.00000,2024-11-13T154454
ITRI0001001,2024-11-13,18.00000,2024-11-13T154446
ITRI0001001,2024-11-13,11.00000,2024-11-13T154419
ITRI0001001,2024-11-13,15.00000,2024-11-13T154302
ITRI0001001,2024-11-13,39.00000,2024-11-13T154228
ITRI0001001,2024-11-13,11.00000,2024-11-13T154155
ITRI0001001,2024-11-13,18.00000,2024-11-13T154149
ITRI0001001,2024-11-13,11.00000,2024-11-13T154114
ITRI0001001,2024-11-13,11.00000,2024-11-13T154109
ITRI0001001,2024-11-13,18.00000,2024-11-13T153643
ITRI0001001,2024-11-13,16.00000,2024-11-13T153432
ITRI0001001,2024-11-13,18.00000,2024-11-13T152655
ITRI0001001,2024-11-13,11.00000,2024-11-13T152646
ITRI0001001,2024-11-13,15.00000,2024-11-13T152619
ITRI0001001,2024-11-13,34.00000,2024-11-13T152506
ITRI0001001,2024-11-13,10.00000,2024-11-13T152500
ITRI0001001,2024-11-13,16.00000,2024-11-13T152425
ITRI0001001,2024-11-13,18.00000,2024-11-13T152351
ITRI0001001,2024-11-13,11.00000,2024-11-13T152322
ITRI0001001,2024-11-13,10.00000,2024-11-13T152014
ITRI0001001,2024-11-13,10.00000,2024-11-13T152005
ITRI0001001,2024-11-13,12.00000,2024-11-13T151656
ITRI0001001,2024-11-13,18.00000,2024-11-13T151651
ITRI0001001,2024-11-13,11.00000,2024-11-13T151646
ITRI0001001,2024-11-13,39.00000,2024-11-13T151455
ITRI0001001,2024-11-13,11.00000,2024-11-13T151117
ITRI0001001,2024-11-13,12.00000,2024-11-13T151112
ITRI0001001,2024-11-13,10.00000,2024-11-13T151040
ITRI0001001,2024-11-13,31.00000,2024-11-13T150758
ITRI0001001,2024-11-13,12.00000,2024-11-13T150729
ITRI0001001,2024-11-13,13.00000,2024-11-13T150207
ITRI0001001,2024-11-13,10.00000,2024-11-13T150126
ITRI0001001,2024-11-13,18.00000,2024-11-13T145942
ITRI0001001,2024-11-13,18.00000,2024-11-13T145026
ITRI0001001,2024-11-13,17.00000,2024-11-13T144927
ITRI0001001,2024-11-13,16.00000,2024-11-13T144910
ITRI0001001,2024-11-13,17.00000,2024-11-13T144902
ITRI0001001,2024-11-13,18.00000,2024-11-13T144831
ITRI0001001,2024-11-13,10.00000,2024-11-13T144709
ITRI0001001,2024-11-13,10.00000,2024-11-13T144111
ITRI0001001,2024-11-13,33.00000,2024-11-13T144031
ITRI0001001,2024-11-13,14.00000,2024-11-13T144025
ITRI0001001,2024-11-13,37.00000,2024-11-13T143943
ITRI0001001,2024-11-13,12.00000,2024-11-13T143855
ITRI0001001,2024-11-13,10.00000,2024-11-13T143848
ITRI0001001,2024-11-13,11.00000,2024-11-13T143731
ITRI0001001,2024-11-13,18.00000,2024-11-13T143651
ITRI0001001,2024-11-13,18.00000,2024-11-13T143644
