id,site_id,site_type,serial_number,lat,lng,isinside,city,town,road,address,addressAmenity,nominatimOSMdata,fixdate,Pipe_diameter,wav_data,error_code,leak_result,date,time,ai_result,leakreason,leakmanage,created,dip,env,pvc,tfc,fft_peak,memo
265330,AI01,mobile,ITRI0004003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T094426,OK,UK,2024-07-01,09:44:26.000000,73.00000,,,2024-07-01 01:44:35.426584,11.00000,4.00000,62.00000,23.00000,"[{""data"":""51.5578"",""hz"":""623.3766""},{""data"":""16.0473"",""hz"":""197.5309""},{""data"":""16.9918"",""hz"":""120.9068""},{""data"":""1.5210"",""hz"":""102.1277""}]",
265332,AI01,mobile,ITRI0004003,24.0958690000,120.7043460000,0,臺中市,大里區,仁化路,大里區仁化路,領鮮超市停車場,"{""place_id"":229625956,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":1145560897,""lat"":""24.09598715"",""lon"":""120.70420621172975"",""category"":""amenity"",""type"":""parking"",""place_rank"":30,""importance"":9.99999999995449e-06,""addresstype"":""amenity"",""name"":""領鮮超市停車場"",""display_name"":""領鮮超市停車場, 仁化路, 仁化里, 大里區, 大突寮, 臺中市, 412, 臺灣"",""address"":{""amenity"":""領鮮超市停車場"",""road"":""仁化路"",""neighbourhood"":""仁化里"",""suburb"":""大里區"",""village"":""大突寮"",""city"":""臺中市"",""ISO3166-2-lvl4"":""TW-TXG"",""postcode"":""412"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""24.0958823"",""24.0960861"",""120.7040303"",""120.7043812""]}",0000-00-00,,2024-07-01T094502,OK,UK,2024-07-01,09:45:02.000000,83.00000,,,2024-07-01 01:45:28.791322,13.00000,1.00000,70.00000,16.00000,"[{""data"":""94.6829"",""hz"":""705.8824""},{""data"":""56.0996"",""hz"":""235.2941""},{""data"":""34.5390"",""hz"":""140.7625""},{""data"":""26.8303"",""hz"":""100.8403""}]",
265333,AI01,mobile,ITRI0004003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T094525,OK,UK,2024-07-01,09:45:25.000000,80.00000,,,2024-07-01 01:45:33.914814,12.00000,2.00000,68.00000,18.00000,"[{""data"":""78.8753"",""hz"":""695.6522""},{""data"":""47.0052"",""hz"":""234.1463""},{""data"":""26.2560"",""hz"":""140.3509""},{""data"":""20.6143"",""hz"":""100.8403""}]",
265334,AI01,mobile,ITRI0004003,24.0958690000,120.7043460000,0,臺中市,大里區,仁化路,大里區仁化路,領鮮超市停車場,"{""place_id"":208014646,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":1145560897,""lat"":""24.09598715"",""lon"":""120.70420621172975"",""category"":""amenity"",""type"":""parking"",""place_rank"":30,""importance"":9.99999999995449e-06,""addresstype"":""amenity"",""name"":""領鮮超市停車場"",""display_name"":""領鮮超市停車場, 仁化路, 仁化里, 大里區, 大突寮, 臺中市, 412, 臺灣"",""address"":{""amenity"":""領鮮超市停車場"",""road"":""仁化路"",""neighbourhood"":""仁化里"",""suburb"":""大里區"",""village"":""大突寮"",""city"":""臺中市"",""ISO3166-2-lvl4"":""TW-TXG"",""postcode"":""412"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""24.0958823"",""24.0960861"",""120.7040303"",""120.7043812""]}",0000-00-00,,2024-07-01T094530,OK,UK,2024-07-01,09:45:30.000000,77.00000,,,2024-07-01 01:45:37.932210,12.00000,3.00000,65.00000,21.00000,"[{""data"":""78.0596"",""hz"":""695.6522""},{""data"":""47.4911"",""hz"":""233.0097""},{""data"":""26.6758"",""hz"":""139.9417""},{""data"":""24.2817"",""hz"":""100.6289""}]",
265344,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T101859,OK,UK,2024-07-01,10:18:59.000000,79.00000,,,2024-07-01 02:19:08.935558,12.00000,2.00000,67.00000,19.00000,"[{""data"":""68.1394"",""hz"":""489.7959""},{""data"":""16.6464"",""hz"":""169.6113""},{""data"":""9.0081"",""hz"":""102.5641""}]",
265351,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T102124,OK,UK,2024-07-01,10:21:24.000000,71.00000,,,2024-07-01 02:21:31.360363,11.00000,5.00000,60.00000,24.00000,"[{""data"":""30.3228"",""hz"":""539.3258""},{""data"":""14.7027"",""hz"":""298.1366""},{""data"":""20.9191"",""hz"":""190.4762""},{""data"":""2.6436"",""hz"":""113.2075""}]",
265352,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T102128,OK,UK,2024-07-01,10:21:28.000000,77.00000,,,2024-07-01 02:21:37.431129,12.00000,3.00000,65.00000,20.00000,"[{""data"":""49.9133"",""hz"":""539.3258""},{""data"":""26.2979"",""hz"":""190.4762""},{""data"":""8.4001"",""hz"":""112.6761""}]",
265356,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T102253,OK,UK,2024-07-01,10:22:53.000000,76.00000,,,2024-07-01 02:23:03.397626,12.00000,3.00000,64.00000,21.00000,"[{""data"":""35.4025"",""hz"":""545.4545""},{""data"":""17.1326"",""hz"":""317.8808""},{""data"":""18.6079"",""hz"":""192.7711""},{""data"":""3.8135"",""hz"":""115.1079""}]",
265357,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T102258,OK,UK,2024-07-01,10:22:58.000000,76.00000,,,2024-07-01 02:23:06.438873,12.00000,3.00000,64.00000,21.00000,"[{""data"":""49.0779"",""hz"":""551.7241""},{""data"":""3.7916"",""hz"":""333.3333""},{""data"":""22.5508"",""hz"":""194.3320""},{""data"":""6.3028"",""hz"":""114.2857""}]",
265359,ITRI_AI01,mobile,ITRI0001001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T103141,OK,UK,2024-07-01,10:31:41.000000,71.00000,,,2024-07-01 02:32:02.756680,10.00000,5.00000,61.00000,24.00000,"[{""data"":""119.9673"",""hz"":""470.5882""},{""data"":""47.1932"",""hz"":""155.8442""}]",
